Image,feat_brightness,feat_hist_mean,feat_hist_var,feat_edge_density,feat_pbm,ISO
IMG20240316225818_20250504021757.jpg,2.4556496938069663,36864.0,145000710000.0,0.0004165437486436632,0.006057291,500
IMG20230906175614.jpg,133.42001104354858,49152.0,1673459100.0,0.08384140332539876,0.005106082,50
IMG20240725184817.jpg,112.30518786112468,49152.0,2032449500.0,0.060823917388916016,0.006229736,50
IMG20231015124208.jpg,168.31842239697775,49152.0,4701131000.0,0.04987947146097819,0.005717377,50
IMG20240812105533.jpg,132.01819594701132,49152.0,731151740.0,0.009086290995279947,0.0057847863,50
IMG20230902195924.jpg,129.80358004570007,49152.0,3165234000.0,0.04259411493937174,0.0054939953,2500
IMG20230819082742.jpg,122.79292599360149,49152.0,1119431400.0,0.1167894999186198,0.005976836,50
IMG20240607115410.jpg,134.83694998423258,49152.0,1697372400.0,0.002295255661010742,0.007121577,2000
IMG20230827071537.jpg,140.09194207191467,49152.0,2241875200.0,0.004810333251953125,0.0062383064,50
IMG20240628185420_20250504021744.jpg,138.65898429022894,36864.0,642410750.0,0.08325714535183376,0.0062726745,626
IMG20230826151155.jpg,138.0453724228662,31212.0,370232830.0,0.08273397951909522,0.0051440466,50
IMG_20240604_215850.jpg,132.31403975515323,27992.637,196793820.0,0.022596483589783306,0.004670605,250
IMG20230819082739.jpg,127.54954385757446,49152.0,1208160300.0,0.09593002001444499,0.006225296,50
IMG20231015115019.jpg,151.04982018470764,49152.0,3318765600.0,0.05764412879943848,0.005169815,50
IMG20240523171155.jpg,156.9116345246633,49152.0,2330215400.0,0.03273908297220866,0.0048703747,64
IMG_20240604_215551.jpg,143.06982928502063,42067.1,563554700.0,0.03368195789873656,0.005354799,160
IMG20230822212023.jpg,93.89306322733562,49152.0,1864379100.0,0.011559486389160156,0.005302279,3200
IMG20240727184241.jpg,118.51532069842021,49152.0,962421760.0,0.09531839688618977,0.005352452,50
